votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff,state_abbr,county_name,combined_fips
3042,42506.0,46620.0,93678.0,0.453745810116,0.497662204573,"4,114",4.39%,WI,Racine County,55101
3043,3577.0,4021.0,7962.0,0.449258980156,0.505023863351,444,5.58%,WI,Richland County,55103
3044,39336.0,31483.0,75043.0,0.524179470437,0.419532801194,"7,853",10.46%,WI,Rock County,55105
3045,2171.0,4564.0,7029.0,0.308863280694,0.649310001423,"2,393",34.04%,WI,Rusk County,55107
3046,14692.0,14791.0,31238.0,0.470324604648,0.473493821628,99,0.32%,WI,Sauk County,55111
3047,2846.0,4625.0,7767.0,0.366422041972,0.595468005665,"1,779",22.90%,WI,Sawyer County,55113
3048,6056.0,12742.0,19697.0,0.307457988526,0.64690054323,"6,686",33.94%,WI,Shawano County,55115
3049,22636.0,32368.0,58290.0,0.388334191113,0.555292503002,"9,732",16.70%,WI,Sheboygan County,55117
3050,17496.0,26123.0,46819.0,0.373694440291,0.557957239582,"8,627",18.43%,WI,St. Croix County,55109
3051,2398.0,6589.0,9417.0,0.254645853244,0.699692046299,"4,191",44.50%,WI,Taylor County,55119
3052,5645.0,7370.0,13581.0,0.415654222811,0.542669906487,"1,725",12.70%,WI,Trempealeau County,55121
3053,6351.0,6994.0,14193.0,0.447474106954,0.492778130064,643,4.53%,WI,Vernon County,55123
3054,4769.0,8169.0,13453.0,0.354493421542,0.607225154241,"3,400",25.27%,WI,Vilas County,55125
3055,18706.0,28848.0,50570.0,0.369903104607,0.570456792565,"10,142",20.06%,WI,Walworth County,55127
3056,3283.0,5404.0,9059.0,0.362402031129,0.596533833756,"2,121",23.41%,WI,Washburn County,55129
3057,20854.0,51729.0,76246.0,0.273509430003,0.678448705506,"30,875",40.49%,WI,Washington County,55131
3058,79200.0,142521.0,233273.0,0.339516360659,0.610962263099,"63,321",27.14%,WI,Waukesha County,55133
3059,8303.0,16013.0,25491.0,0.325722804127,0.628182495783,"7,710",30.25%,WI,Waupaca County,55135
3060,3802.0,7669.0,11961.0,0.317866399131,0.641167126494,"3,867",32.33%,WI,Waushara County,55137
3061,37054.0,43447.0,85892.0,0.431402226051,0.505832906441,"6,393",7.44%,WI,Winnebago County,55139
3062,14232.0,21502.0,37712.0,0.377386508273,0.570163343233,"7,270",19.28%,WI,Wood County,55141
